group,tag,shows,title_en,title_zh_hant,cn_annot_hant,title_zh_hans,cn_annot_hans,title_en_ok,title_hant_ok,title_hans_ok,title_hant_src,title_hans_src,syn_en,syn_hant,syn_hans
0528,中國原創,15,#0528,#0528,,#0528,,1,0,0,—,—,0,0,0
101 dalmatians,Broadway/West End,3,101 Dalmatians,101 Dalmatians,101忠狗,101 Dalmatians,101斑点狗,1,1,1,官方譯名表,官方譯名表,1,1,1
1457 소년 잠들다 영월,韓國原創,1,"1457, 소년 잠들다 - 영월","1457, 소년 잠들다 - 영월",,"1457, 소년 잠들다 - 영월",,0,0,0,—,—,0,0,0
1776,Broadway/West End,1,1776,1776,,1776,,1,0,0,—,—,1,1,1
2026 midnight actor musician the choice,韓國原創,1,2026 Midnight : Actor Musician - THE CHOICE,2026 Midnight : Actor Musician - THE CHOICE,,2026 Midnight : Actor Musician - THE CHOICE,,1,0,0,—,—,1,1,1
2026 musical midnight antlers,韓國原創,1,2026 Musical MIDNIGHT : ANTLERS,2026 Musical MIDNIGHT : ANTLERS,,2026 Musical MIDNIGHT : ANTLERS,,1,0,0,—,—,0,0,0
2026 the choice,韓國原創,1,2026뮤지컬 미드나잇:액터뮤지션 - THE CHOICE 비지정석,2026뮤지컬 미드나잇:액터뮤지션 - THE CHOICE 비지정석,,2026뮤지컬 미드나잇:액터뮤지션 - THE CHOICE 비지정석,,0,0,0,—,—,0,0,0
2026 wtof million loves,韓國原創,1,2026 WTOF Million Loves,2026 WTOF Million Loves,,2026 WTOF Million Loves,,1,0,0,—,—,1,1,1
2026 리 바운드 축제 1457 소년 잠들다,韓國原創,1,"［2026 리:바운드 축제］1457, 소년 잠들다","［2026 리:바운드 축제］1457, 소년 잠들다",,"［2026 리:바운드 축제］1457, 소년 잠들다",,0,0,0,—,—,0,0,0
2026년 전주브랜드공연 마당창극 별향단젼이라,韓國原創,1,2026년 전주브랜드공연(마당창극) ＇별향단젼이라＇,2026년 전주브랜드공연(마당창극) ＇별향단젼이라＇,,2026년 전주브랜드공연(마당창극) ＇별향단젼이라＇,,0,0,0,—,—,0,0,0
25th annual putnam county spelling bee,Broadway/West End,3,The 25th Annual Putnam County Spelling Bee,The 25th Annual Putnam County Spelling Bee,,The 25th Annual Putnam County Spelling Bee,,1,0,0,—,—,1,1,1
42nd street,Broadway/West End,2,42nd Street,42nd Street,第42街,42nd Street,第42街,1,1,1,官方譯名表,官方譯名表,1,1,1
6點下班,韓國原創,1,6點下班,6點下班,,6点下班,,0,1,1,原生中文,原生中文,1,1,1
6시 퇴근 울산,韓國原創,1,6시 퇴근 - 울산,6시 퇴근 - 울산,,6시 퇴근 - 울산,,0,0,0,—,—,0,0,0
7080 뮤지컬 목마와 숙녀 부산,韓國原創,1,7080 뮤지컬 목마와 숙녀 - 부산,7080 뮤지컬 목마와 숙녀 - 부산,,7080 뮤지컬 목마와 숙녀 - 부산,,0,0,0,—,—,0,0,0
8 scott ave night at the towers,Broadway/West End,1,8 Scott Ave - Night at the Towers,8 Scott Ave - Night at the Towers,,8 Scott Ave - Night at the Towers,,1,0,0,—,—,1,1,1
9 to 5,Broadway/West End,1,9 to 5,9 to 5,,9 to 5,,1,0,0,—,—,1,1,1
a beautiful noise,Broadway/West End,18,A Beautiful Noise,A Beautiful Noise,,A Beautiful Noise,,1,0,0,—,—,1,1,1
a chorus line,Broadway/West End,1,A Chorus Line,A Chorus Line,歌舞線上,A Chorus Line,歌舞线上,1,1,1,官方譯名表,官方譯名表,1,1,1
a christmas carol,Broadway/West End,53,A Christmas Carol,A Christmas Carol,小氣財神,A Christmas Carol,圣诞颂歌,1,1,1,官方譯名表,官方譯名表,1,1,1
a christmas carol bit,歐陸原創,17,A Christmas Carol Musical,A Christmas Carol Musical,小氣財神,A Christmas Carol Musical,圣诞颂歌,1,1,1,官方譯名表,官方譯名表,1,1,1
a christmas story,Broadway/West End,6,A Christmas Story,A Christmas Story,,A Christmas Story,,1,0,0,—,—,1,1,1
a mardi gras carol,Broadway/West End,1,A Mardi Gras Carol,A Mardi Gras Carol,,A Mardi Gras Carol,,1,0,0,—,—,1,1,1
a media luz,西葡音樂劇,1,A media luz,A media luz,微光,A media luz,微光,1,1,1,官方譯名表,官方譯名表,1,1,1
a padlas,歐陸原創,2,A Padlás,A Padlás,閣樓,A Padlás,阁楼,1,1,1,官方譯名表,官方譯名表,1,1,1
a pal utcai fiuk,歐陸原創,1,A Pál utcai fiúk,A Pál utcai fiúk,,A Pál utcai fiúk,,1,0,0,—,—,0,0,0
a tenkes kapitanya,歐陸原創,1,A Tenkes kapitánya – kalandmusical,A Tenkes kapitánya – kalandmusical,坦凱什大尉,A Tenkes kapitánya – kalandmusical,坦凯什大尉,1,1,1,官方譯名表,官方譯名表,1,1,1
a todo ritmo,西葡音樂劇,1,A Todo Ritmo,A Todo Ritmo,節奏全開,A Todo Ritmo,节奏全开,1,1,1,官方譯名表,官方譯名表,1,1,1
a tron,歐陸原創,1,A TRÓN,A TRÓN,王座,A TRÓN,王座,1,1,1,官方譯名表,官方譯名表,1,1,1
addams family,Broadway/West End,5,The Addams Family,The Addams Family,阿達一族,The Addams Family,亚当斯一家,1,1,1,官方譯名表,官方譯名表,1,1,1
aggiungi un posto a tavola,歐陸原創,3,Aggiungi un posto a tavola,Aggiungi un posto a tavola,餐桌加個位子,Aggiungi un posto a tavola,餐桌加个位子,1,1,1,官方譯名表,官方譯名表,1,1,1
aladdin,Broadway/West End,2,Aladdin,Aladdin,阿拉丁,Aladdin,阿拉丁,1,1,1,官方譯名表,官方譯名表,1,1,1
alice nel paese delle meraviglie,歐陸原創,15,Alice nel Paese delle Meraviglie,Alice nel Paese delle Meraviglie,愛麗絲夢遊仙境,Alice nel Paese delle Meraviglie,爱丽丝梦游仙境,1,1,1,官方譯名表,官方譯名表,1,1,1
alicia en el pais de las maravillas,西葡音樂劇,1,Alicia en el país de las maravillas,Alicia en el país de las maravillas,愛麗絲夢遊仙境,Alicia en el país de las maravillas,爱丽丝梦游仙境,1,1,1,官方譯名表,官方譯名表,1,1,1
all shook up,Broadway/West End,3,All Shook Up,All Shook Up,,All Shook Up,,1,0,0,—,—,1,1,1
amelie,Broadway/West End,6,Amélie,Amélie,艾蜜莉的異想世界,Amélie,天使爱美丽,1,1,1,官方譯名表,官方譯名表,1,1,1
anastasia,Broadway/West End,2,Anastasia,Anastasia,真假公主,Anastasia,真假公主,1,1,1,官方譯名表,官方譯名表,1,1,1
